,FPR,TPR,FPR*SR,TPR*SR,PPV,pDockQ
0,0.0,0.0,0.0,0.0,,1.7404010512885288
10,0.007054673721340388,0.36980306345733044,0.004353795936060172,0.22822417285617827,0.9812802736275102,0.6733307892347378
20,0.015873015873015872,0.41575492341356673,0.009796040856135387,0.2565833896016205,0.9632252353745876,0.6566607342587303
30,0.024691358024691357,0.5043763676148797,0.015238285776210602,0.3112761647535449,0.9533304398886875,0.6325456611429732
40,0.03350970017636684,0.5251641137855579,0.020680530696285816,0.32410533423362586,0.9400192038020766,0.6260439145196461
50,0.042328042328042326,0.5776805251641138,0.026122775616361033,0.3565158676569885,0.931729907379743,0.6015093070086206
60,0.05114638447971781,0.6236323851203501,0.03156502053643625,0.3848750844024308,0.924202736090776,0.5831380302171598
70,0.059964726631393295,0.6564551422319475,0.03700726545651146,0.4051316677920324,0.9162994645492841,0.5647381044024822
80,0.06878306878306878,0.6914660831509847,0.042449510376586674,0.4267386900742741,0.9095256224777278,0.5412243798486323
90,0.07936507936507936,0.7177242888402626,0.04898020428067693,0.44294395678595544,0.9004313913460282,0.5231439201306616
100,0.09171075837742504,0.7571115973741794,0.05659934716878223,0.46725185685347737,0.8919552981186292,0.49659878175223504
110,0.10052910052910052,0.7789934354485777,0.06204159208885745,0.48075624577987847,0.8857003698974555,0.47746759916552084
120,0.1128747795414462,0.8140043763676149,0.06966073497696275,0.5023632680621202,0.8782206085638625,0.446613457628697
130,0.12345679012345678,0.8347921225382933,0.076191428881053,0.5151924375422012,0.8711641740552275,0.42628388734526235
140,0.13756613756613756,0.8479212253829321,0.08489902075317335,0.5232950708980418,0.8604080146147475,0.39990988493524576
150,0.14638447971781304,0.8599562363238512,0.09034126567324857,0.5307224848075625,0.8545378544419816,0.3847971530354893
160,0.16225749559082892,0.8708971553610503,0.10013730652938395,0.537474679270763,0.8429494602368234,0.364939298397256
170,0.1763668430335097,0.8840262582056893,0.1088448984015043,0.5455773126266037,0.8336778664182146,0.3452600429258235
180,0.19400352733686066,0.8982494529540481,0.11972938824165473,0.5543551654287644,0.8223822403439998,0.32625890138749813
190,0.20987654320987653,0.9059080962800875,0.1295254290977901,0.5590817015530047,0.8119022831271336,0.3147566801390469
200,0.2257495590828924,0.9157549234135668,0.1393214699539255,0.5651586765698852,0.8022350656134261,0.29750023138764753
210,0.25396825396825395,0.9299781181619255,0.1567366536981662,0.5739365293720459,0.7854900695279725,0.2667372526358735
220,0.26807760141093473,0.937636761487965,0.16544424557028653,0.5786630654962863,0.7776607713568282,0.2456124688377908
230,0.2998236331569665,0.9463894967177243,0.1850363272825573,0.5840648210668468,0.7594122337748807,0.2188268948099308
240,0.3350970017636684,0.9540481400437637,0.20680530696285815,0.5887913571910871,0.7400626268553057,0.19651313777844767
250,0.3544973544973545,0.9606126914660832,0.21877824578702362,0.5928426738690075,0.7304428206708337,0.17606258154866883
260,0.3880070546737213,0.9682713347921226,0.23945877648330946,0.5975692099932478,0.7139178374533167,0.15398167555194875
270,0.4056437389770723,0.9748358862144421,0.2503432663234599,0.6016205266711682,0.7061573879289981,0.13927676910065984
280,0.4479717813051146,0.9803063457330415,0.2764660419398209,0.6049966239027684,0.6863553583684145,0.12024130743027514
290,0.49206349206349204,0.986870897155361,0.303677266540197,0.6090479405806887,0.6672851103804603,0.09996018866858666
300,0.5696649029982364,0.9934354485776805,0.3515690218368589,0.613099257258609,0.6355544911598923,0.06968504512040563
310,0.7883597883597884,0.9989059080962801,0.48653669585472425,0.6164753544902093,0.5589017402823708,0.029464382777737268
