,FPR,TPR,FPR*SR,TPR*SR,PPV,pDockQ
0,0.0,0.0,0.0,0.0,,1.7403281494128375
10,0.007246376811594203,0.30032292787944026,0.004545499026313987,0.18838622552329506,0.9764398569653319,0.6839274656800245
20,0.016304347826086956,0.40904198062432723,0.01022737280920647,0.2565833896016205,0.9616680649731112,0.6500272706954919
30,0.02717391304347826,0.46609257265877285,0.01704562134867745,0.2923700202565834,0.9449102790659061,0.6349787503844835
40,0.03804347826086957,0.5263724434876211,0.023863869888148433,0.33018230925050646,0.932596730894806,0.6096810309223102
50,0.04710144927536232,0.596340150699677,0.029545743671040913,0.3740715732613099,0.9267976312423855,0.5840017822367509
60,0.05615942028985507,0.6081808396124866,0.0352276174539334,0.38149898717083053,0.9154658784368863,0.5801815441507774
70,0.06521739130434782,0.6393972012917115,0.04090949123682588,0.4010803511141121,0.907442462887317,0.5647419094356219
80,0.07608695652173914,0.682454251883746,0.047727739776296865,0.42808912896691426,0.8996930480788512,0.5380134927557387
90,0.08695652173913043,0.7115177610333692,0.05454598831576784,0.4463200540175557,0.8910966531856281,0.5201295275916731
100,0.09601449275362318,0.7416576964477933,0.06022786209866032,0.46522619851451724,0.8853793954349167,0.49646181770609277
110,0.1105072463768116,0.751345532831001,0.0693188601512883,0.4713031735313977,0.8717794395483804,0.48651493057710954
120,0.11956521739130435,0.7707212055974165,0.07500073393418079,0.4834571235651587,0.8657002799279809,0.46364402008922534
130,0.1322463768115942,0.790096878363832,0.08295535723023026,0.49561107359891965,0.8566191316849371,0.44392736268179345
140,0.1431159420289855,0.806243272335845,0.08977360576970124,0.5057393652937204,0.8492499573781066,0.42783566944943213
150,0.15579710144927536,0.8202368137782562,0.09772822906575071,0.5145172180958811,0.8403773690456686,0.4057514981151498
160,0.16847826086956522,0.8288482238966631,0.1056828523618002,0.5199189736664416,0.8310701024759648,0.397769008110384
170,0.1793478260869565,0.8396124865446717,0.11250110090127116,0.5266711681296421,0.8239893901031708,0.3793217178998509
180,0.1956521739130435,0.8643702906350915,0.12272847371047765,0.5422012153950033,0.8154263891035122,0.3574290148993526
190,0.20833333333333334,0.8783638320775027,0.13068309700652714,0.550979068197164,0.8082875892525486,0.3471345746922712
200,0.21739130434782608,0.891280947255113,0.1363649707894196,0.5590817015530047,0.8039174300308161,0.327685977890154
210,0.24094202898550723,0.898815931108719,0.15113784262494004,0.5638082376772451,0.7886024599770394,0.3102098840681429
220,0.2608695652173913,0.9128094725511302,0.1636379649473035,0.5725860904794058,0.7777334715687056,0.2875674190585239
230,0.27898550724637683,0.9214208826695371,0.1750017125130885,0.5779878460499662,0.7675907845959408,0.26898436497110956
240,0.29528985507246375,0.930032292787944,0.18522908532229496,0.5833896016205267,0.7590104320010186,0.2526453208939682
250,0.3170289855072464,0.9364908503767492,0.19886558240123695,0.587440918298447,0.7470889758328602,0.23995402486323764
260,0.33152173913043476,0.9451022604951561,0.20795658045386486,0.5928426738690075,0.7403137186613571,0.22521868500465117
270,0.3423913043478261,0.9515608180839612,0.2147748289933359,0.5968939905469277,0.7353910562746684,0.21390702016088065
280,0.3677536231884058,0.9601722282023681,0.23068407558543486,0.6022957461174882,0.7230616281750618,0.18859802244296323
290,0.3967391304347826,0.9666307857911733,0.24886607169069078,0.6063470627954085,0.7090011113542645,0.16951355913482136
300,0.42391304347826086,0.9730893433799784,0.26591169303936824,0.6103983794733289,0.6965552475313863,0.15547771397393143
310,0.447463768115942,0.9784714747039828,0.2806845648748887,0.6137744767049291,0.6861962909121742,0.1425471670738424
320,0.5253623188405797,0.9870828848223897,0.32954867940776406,0.6191762322754896,0.6526404278527168,0.103864423961449
330,0.6829710144927537,0.9924650161463939,0.42841328323009326,0.6225523295070898,0.5923622257113493,0.05402481618193014
340,0.8079710144927537,0.9989235737351991,0.5068231414340095,0.6266036461850101,0.5528399831640747,0.030114286751900324
