complex_id,AFdefault_Neff
1A0R_B-1A0R_G,95353
1A0R_B-1A0R_P,35213
1AN1_I-1AN1_E,20607
1AWC_A-1AWC_B,113533
1B33_E-1B33_N,1650
1BH9_A-1BH9_B,749
1BML_B-1BML_D,21610
1BOU_B-1BOU_A,4058
1C9B_N-1C9B_M,5366
1CCW_C-1CCW_D,5339
1CI6_A-1CI6_B,572
1D2Z_A-1D2Z_B,631
1DCE_B-1DCE_A,12667
1DHK_A-1DHK_B,5791
1DML_F-1DML_E,24
1DOW_B-1DOW_A,578
1DP5_A-1DP5_B,6975
1DS6_A-1DS6_B,10597
1DX5_N-1DX5_J,22532
1EAI_B-1EAI_D,21033
1EEX_L-1EEX_E,1233
1EEX_L-1EEX_M,1240
1EGJ_L-1EGJ_A,4369
1EM8_D-1EM8_C,2417
1ES7_A-1ES7_B,1504
1EXB_A-1EXB_E,20419
1F3U_E-1F3U_F,976
1FFT_F-1FFT_G,10399
1FI8_B-1FI8_E,18306
1FM0_E-1FM0_D,6595
1FOE_B-1FOE_A,12506
1FS0_G-1FS0_E,14145
1FXK_A-1FXK_C,2787
1FYH_A-1FYH_B,1245
1G1X_C-1G1X_A,2686
1G4U_R-1G4U_S,12448
1G8K_B-1G8K_A,7778
1GH6_B-1GH6_A,917
1GHQ_B-1GHQ_A,8626
1GL2_A-1GL2_B,1848
1GL2_A-1GL2_D,1852
1GL2_C-1GL2_B,2057
1GL2_C-1GL2_D,1303
1GL4_B-1GL4_A,4523
1GNG_A-1GNG_X,70428
1GO3_E-1GO3_F,5782
1GO4_B-1GO4_F,1620
1GOT_B-1GOT_A,88160
1GVN_D-1GVN_C,2759
1GXD_A-1GXD_C,8982
1GZS_A-1GZS_B,7906
1H2S_B-1H2S_A,2350
1H2T_Z-1H2T_C,7909
1H3O_B-1H3O_A,563
1H59_A-1H59_B,341
1H9D_C-1H9D_D,373
1H9H_E-1H9H_I,19960
1HBX_G-1HBX_B,1957
1HFE_S-1HFE_L,10143
1I1R_A-1I1R_B,4635
1I4D_D-1I4D_A,10646
1I7Q_D-1I7Q_C,20322
1I7W_D-1I7W_C,3944
1IAR_A-1IAR_B,1230
1IK9_C-1IK9_A,521
1IKN_D-1IKN_A,61905
1IS8_H-1IS8_S,3775
1IXR_B-1IXR_C,16539
1J2J_A-1J2J_B,4755
1J34_C-1J34_A,4730
1JB0_A-1JB0_C,3771
1JB0_A-1JB0_D,1170
1JB0_A-1JB0_E,1029
1JB0_A-1JB0_F,1361
1JB0_D-1JB0_C,2914
1JB0_D-1JB0_L,651
1JB0_E-1JB0_C,2652
1JB0_J-1JB0_F,604
1JMU_I-1JMU_F,26
1JNR_A-1JNR_B,7223
1JQL_A-1JQL_B,14459
1JR3_E-1JR3_B,23865
1JSU_A-1JSU_B,99599
1JSU_A-1JSU_C,51054
1K8K_A-1K8K_D,5957
1K8K_A-1K8K_E,5699
1K8K_A-1K8K_F,5208
1K8K_C-1K8K_F,10787
1K8K_C-1K8K_G,9390
1K8K_D-1K8K_F,1444
1K8K_G-1K8K_F,1059
1KA9_H-1KA9_F,21392
1KF6_C-1KF6_D,1482
1KF6_D-1KF6_B,4246
1KF6_M-1KF6_N,15379
1KF6_O-1KF6_N,4547
1KKM_I-1KKM_A,7024
1KMI_Y-1KMI_Z,123939
1KQF_A-1KQF_B,5855
1KQF_C-1KQF_B,10252
1KXP_A-1KXP_D,6319
1L0O_C-1L0O_B,4815
1L1O_C-1L1O_B,3310
1L1O_D-1L1O_E,2317
1LDJ_A-1LDJ_B,5934
1LDK_A-1LDK_D,4779
1LQB_C-1LQB_B,2736
1LQV_C-1LQV_A,863
1LRW_A-1LRW_B,9323
1LTS_C-1LTS_E,4
1M1E_A-1M1E_B,3933
1M56_B-1M56_I,14211
1M56_C-1M56_D,6389
1MIU_A-1MIU_B,1138
1MNM_C-1MNM_B,1974
1MQS_A-1MQS_B,2627
1N2D_C-1N2D_A,4548
1N6J_A-1N6J_G,1759
1NBW_B-1NBW_A,1137
1NF3_B-1NF3_D,9787
1NH2_A-1NH2_C,2128
1NH2_A-1NH2_D,2406
1NH2_D-1NH2_C,740
1NPE_B-1NPE_A,10060
1NU7_F-1NU7_H,20963
1O6O_C-1O6O_E,3338
1OF5_A-1OF5_B,1859
1OFH_A-1OFH_G,8752
1OGY_O-1OGY_P,14236
1OQE_I-1OQE_Q,654
1OR7_F-1OR7_B,41362
1ORY_B-1ORY_A,2196
1OTC_A-1OTC_B,1400
1OW3_B-1OW3_A,12370
1P3Q_V-1P3Q_R,5122
