complex_id,DockQ_dockqstats_CASP_af2_af2andhhblitsmsa_model_1_rec10_run1,DockQ_dockqstats_CASP_af2_af2andhhblitsmsa_model_1_rec10_run2,DockQ_dockqstats_CASP_af2_af2andhhblitsmsa_model_1_rec10_run3,DockQ_dockqstats_CASP_af2_af2andhhblitsmsa_model_1_rec10_run4,DockQ_dockqstats_CASP_af2_af2andhhblitsmsa_model_1_rec10_run5
6r17_A-6r17_C,0.503,0.505,0.537,0.502,0.505
6tmm_A-6tmm_B,0.033,0.035,0.028,0.031,0.03
6tmm_A-6tmm_D,0.028,0.034,0.036,0.025,0.035
6vn1_A-6vn1_H,0.004,0.004,0.005,0.003,0.005
6vn1_H-6vn1_L,0.447,0.447,0.45,0.449,0.447
6xod_A-6xod_B,0.941,0.938,0.942,0.944,0.942
7m5f_A-7m5f_C,0.707,0.851,0.71,0.705,0.737
