complex_id,tophit_Neff
1A0R_B-1A0R_G,84
1A0R_B-1A0R_P,1053
1AN1_I-1AN1_E,368
1AWC_A-1AWC_B,102
1B33_E-1B33_N,27
1BH9_A-1BH9_B,155
1BML_B-1BML_D,1
1BOU_B-1BOU_A,165
1C9B_N-1C9B_M,311
1CCW_C-1CCW_D,349
1CI6_A-1CI6_B,65
1D2Z_A-1D2Z_B,107
1DCE_B-1DCE_A,697
1DHK_A-1DHK_B,427
1DML_F-1DML_E,16
1DOW_B-1DOW_A,35
1DP5_A-1DP5_B,1
1DS6_A-1DS6_B,147
1DX5_N-1DX5_J,303
1EAI_B-1EAI_D,230
1EEX_L-1EEX_E,33
1EEX_L-1EEX_M,31
1EGJ_L-1EGJ_A,239
1EM8_D-1EM8_C,106
1ES7_A-1ES7_B,97
1EXB_A-1EXB_E,158
1F3U_E-1F3U_F,228
1FFT_F-1FFT_G,687
1FI8_B-1FI8_E,48
1FM0_E-1FM0_D,1871
1FOE_B-1FOE_A,288
1FS0_G-1FS0_E,2272
1FXK_A-1FXK_C,640
1FYH_A-1FYH_B,43
1G1X_C-1G1X_A,1739
1G4U_R-1G4U_S,521
1G8K_B-1G8K_A,1593
1GH6_B-1GH6_A,172
1GHQ_B-1GHQ_A,224
1GL2_A-1GL2_B,257
1GL2_A-1GL2_D,293
1GL2_C-1GL2_B,204
1GL2_C-1GL2_D,244
1GL4_B-1GL4_A,139
1GNG_A-1GNG_X,30
1GO3_E-1GO3_F,340
1GO4_B-1GO4_F,100
1GOT_B-1GOT_A,401
1GVN_D-1GVN_C,30
1GXD_A-1GXD_C,243
1GZS_A-1GZS_B,1
1H2T_Z-1H2T_C,344
1H3O_B-1H3O_A,35
1H59_A-1H59_B,14
1H9D_C-1H9D_D,31
1H9H_E-1H9H_I,1
1HBX_G-1HBX_B,18
1HFE_S-1HFE_L,431
1I1R_A-1I1R_B,68
1I4D_D-1I4D_A,98
1I7Q_D-1I7Q_C,2605
1I7W_D-1I7W_C,39
1IAR_A-1IAR_B,43
1IK9_C-1IK9_A,215
1IKN_D-1IKN_A,117
1IS8_H-1IS8_S,23
1IXR_B-1IXR_C,1701
1J2J_A-1J2J_B,43
1JB0_A-1JB0_C,44
1JB0_A-1JB0_D,26
1JB0_A-1JB0_E,26
1JB0_A-1JB0_F,32
1JB0_D-1JB0_C,15
1JB0_D-1JB0_L,27
1JB0_E-1JB0_C,13
1JB0_J-1JB0_F,40
1JMU_I-1JMU_F,7
1JNR_A-1JNR_B,1737
1JQL_A-1JQL_B,1876
1JR3_E-1JR3_B,4021
1JSU_A-1JSU_B,493
1JSU_A-1JSU_C,115
1K8K_A-1K8K_D,144
1K8K_A-1K8K_E,107
1K8K_A-1K8K_F,104
1K8K_C-1K8K_F,196
1K8K_C-1K8K_G,229
1K8K_D-1K8K_F,125
1K8K_G-1K8K_F,118
1KA9_H-1KA9_F,1939
1KF6_C-1KF6_D,127
1KF6_D-1KF6_B,80
1KF6_M-1KF6_N,1697
1KF6_O-1KF6_N,108
1KKM_I-1KKM_A,1766
1KMI_Y-1KMI_Z,280
1KQF_A-1KQF_B,1610
1KQF_C-1KQF_B,1541
1KXP_A-1KXP_D,25
1L0O_C-1L0O_B,3227
1L1O_C-1L1O_B,486
1L1O_D-1L1O_E,337
1LDJ_A-1LDJ_B,319
1LDK_A-1LDK_D,284
1LQB_C-1LQB_B,117
1LRW_A-1LRW_B,9
1LTS_C-1LTS_E,3
