name,JHparams,lenA,lenB,msa,msaA,msaB,cdhit,dockQ,fnat,iRMS,LRMS,fnonnat,mm,tmA,tmB,long,med,longPPV,medPPV,longA,medA,longPPVA,medPPVA,longB,medB,longPPVB,medPPVB,short,shortPPV,shortA,shortPPVA,shortB,shortPPVB,shortpdb,medpdb,longpdb,avprob,longMODEL,medMODEL,longPPVMODEL,medPPVMODEL,longAMODEL,medAMODEL,longPPVAMODEL,medPPVAMODEL,longBMODEL,medBMODEL,longPPVBMODEL,medPPVBMODEL,shortMODEL,shortPPVMODEL,shortAMODEL,shortPPVAMODEL,shortBMODEL,shortPPVBMODEL,shortpdbMODEL,medpdbMODEL,longpdbMODEL,avprobMODEL,evalue,seqid,hhprob,hhevalue,hhscore,PconsDock,MMdock,shortMCC,medMCC,longMCC,shortF1,medF1,longF1,shortMCCMODEL,medMCCMODEL,longMCCMODEL,shortF1MODEL,medF1MODEL,longF1MODEL,rank,pcd,mmd
1ay7_u1_A-1ay7_u2_A,AF2-smallbsd,97,90,1060,1485,2034,1026,0.767,0.722,1.060,2.667,0.161,0.95005,0.98368,0.94864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.9472,0.79318,2
1ay7_u1_A-1ay7_u2_A,AF2-smallbsd,97,90,1060,1485,2034,1026,0.770,0.722,1.035,2.662,0.188,0.95124,0.98317,0.94904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.948,0.792796,2
1ay7_u1_A-1ay7_u2_A,AF2-smallbsd,97,90,1060,1485,2034,1026,0.839,0.861,0.974,1.907,0.205,0.96202,0.98531,0.95042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9638,0.7899,2
1ay7_u1_A-1ay7_u2_A,AF2-smallbsd,97,90,1060,1485,2034,1026,0.839,0.861,0.972,1.936,0.225,0.96163,0.98641,0.94954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.9638,0.790118,2
1ay7_u1_A-1ay7_u2_A,AF2-smallbsd,97,90,1060,1485,2034,1026,0.753,0.694,1.085,2.714,0.194,0.94922,0.98667,0.94823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.939,0.793318,2
1b27_u1_A-1b27_u2_A,AF2-smallbsd,109,90,733,1484,2034,654,0.710,0.680,1.453,2.247,0.277,0.94283,0.98719,0.87550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,50.000,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.981,0.79836,2
1b27_u1_A-1b27_u2_A,AF2-smallbsd,109,90,733,1484,2034,654,0.680,0.620,1.525,2.375,0.295,0.93674,0.98836,0.87638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,50.000,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9914,0.79959,2
1b27_u1_A-1b27_u2_A,AF2-smallbsd,109,90,733,1484,2034,654,0.678,0.620,1.534,2.410,0.295,0.93592,0.98808,0.87585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,50.000,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9906,0.799436,2
1b27_u1_A-1b27_u2_A,AF2-smallbsd,109,90,733,1484,2034,654,0.679,0.620,1.532,2.385,0.295,0.93600,0.98808,0.87610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,50.000,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.991,0.799546,2
1b27_u1_A-1b27_u2_A,AF2-smallbsd,109,90,733,1484,2034,654,0.678,0.620,1.535,2.393,0.295,0.93640,0.98820,0.87578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,50.000,1.8,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9914,0.799588,2
