,prefix,Uniprot ID 1,Uniprot ID 2,Sequence Length 1,Sequence Length 2,PDB,Chain 1,Chain 2,N residue contacts (5Ang),PFAM domains 1,PFAM domains 2,Chain start 1,Chain end 1,Chain start 2,Chain end 2,Protein name 1,Gene name 1,Protein name 2,Gene name 2,Organism 1,Organism 2,Resolution (Ang),contains DNA,contains RNA,Org1,Org2,kingdom1,kingdom2
0,allpdb0000,POC2_YEAST,POC1_YEAST,267,276,4G4S,P,O,103,PF09754;,PF10450;,1,267,1,276,Proteasome assembly chaperone 2 (Alpha-1-proteinase inhibitor-degradation deficient protein 66) (Proteasome biogenesis-associated protein 2),ADD66 PBA2 POC2 YKL206C,Proteasome chaperone 1 (Proteasome biogenesis-associated protein 1),PBA1 POC1 YLR199C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.49,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
1,allpdb0004,SMD1_HUMAN,GEMI2_HUMAN,119,280,5XJL,A,2,31,PF01423;,PF04938;,1,119,1,280,Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1),SNRPD1,Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1),GEMIN2 SIP1,Homo sapiens (Human),Homo sapiens (Human),2.5,N,N,Homo sapiens,Homo sapiens,E,E
2,allpdb0005,GEMI2_HUMAN,SMN_HUMAN,280,294,5XJL,2,M,43,PF04938;,PF06003;,1,280,35,51,Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1),GEMIN2 SIP1,Survival motor neuron protein (Component of gems 1) (Gemin-1),SMN1 SMN SMNT; SMN2 SMNC,Homo sapiens (Human),Homo sapiens (Human),2.5,N,N,Homo sapiens,Homo sapiens,E,E
3,allpdb0006,RRP43_YEAST,RRP44_YEAST,394,1001,4IFD,C,J,33,PF01138;,PF13638;PF17216;PF17215;,2,394,1,1001,Exosome complex component RRP43 (Ribosomal RNA-processing protein 43),RRP43 YCR035C YCR35C YCR522,Exosome complex exonuclease DIS3 (EC 3.1.13.-) (EC 3.1.26.-) (Chromosome disjunction protein 3) (Ribosomal RNA-processing protein 44),DIS3 RRP44 YOL021C O2197,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.81,N,Y,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4,allpdb0007,RRP45_YEAST,RRP40_YEAST,305,240,4IFD,A,G,55,PF01138;PF03725;,PF15985;,2,305,1,240,Exosome complex component RRP45 (Ribosomal RNA-processing protein 45),RRP45 YDR280W D9954.1,Exosome complex component RRP40 (Ribosomal RNA-processing protein 40),RRP40 YOL142W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.81,N,Y,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
5,allpdb0008,RRP43_YEAST,CSL4_YEAST,394,292,4IFD,C,I,45,PF01138;,PF10447;,2,394,1,292,Exosome complex component RRP43 (Ribosomal RNA-processing protein 43),RRP43 YCR035C YCR35C YCR522,Exosome complex component CSL4 (CEP1 synthetic lethal protein 4),CSL4 SKI4 YNL232W N1154,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.81,N,Y,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
6,allpdb0009,RRP6_YEAST,CSL4_YEAST,733,292,4IFD,K,I,53,PF01612;PF00570;PF08066;,PF10447;,518,693,1,292,Exosome complex exonuclease RRP6 (EC 3.1.13.-) (Ribosomal RNA-processing protein 6),RRP6 UNC733 YOR001W,Exosome complex component CSL4 (CEP1 synthetic lethal protein 4),CSL4 SKI4 YNL232W N1154,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.81,N,Y,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
7,allpdb0010,CSL4_YEAST,RRP40_YEAST,292,240,4IFD,I,G,27,PF10447;,PF15985;,1,292,1,240,Exosome complex component CSL4 (CEP1 synthetic lethal protein 4),CSL4 SKI4 YNL232W N1154,Exosome complex component RRP40 (Ribosomal RNA-processing protein 40),RRP40 YOL142W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.81,N,Y,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
8,allpdb0011,SKI7_YEAST,CSL4_YEAST,747,292,5JEA,K,I,93,PF00009;,PF10447;,116,225,1,292,Superkiller protein 7,SKI7 YOR076C YOR29-27,Exosome complex component CSL4 (CEP1 synthetic lethal protein 4),CSL4 SKI4 YNL232W N1154,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.65,N,Y,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
9,allpdb0012,SKI7_YEAST,RRP43_YEAST,747,394,5JEA,K,C,59,PF00009;,PF01138;,116,225,1,394,Superkiller protein 7,SKI7 YOR076C YOR29-27,Exosome complex component RRP43 (Ribosomal RNA-processing protein 43),RRP43 YCR035C YCR35C YCR522,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.65,N,Y,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
