,id1,id2,if_plddt_av,if_plddt_std,ch1_plddt_av,ch1_plddt_std,ch2_plddt_av,ch2_plddt_std,plddt_av,plddt_std,num_atoms_in_interface,num_res_in_interface,metric_name,model_name
0,1ay7_A,1ay7_B,94.18397311743053,2.9242754690884816,95.03526675738414,4.172226917415986,96.62209560531768,1.9307263151747465,95.79866009503867,3.3845239669061935,54,23,result_model_1,unrelaxed_model_1
1,1b27_A,1b27_B,95.88461557025799,2.380227411608831,97.01313186186073,1.655278562751512,96.75435749470391,1.9160177103532146,96.89622364522643,1.782474782326462,64,30,result_model_1,unrelaxed_model_1
2,1bdj_A,1bdj_B,87.49091389086931,3.3625934641400206,92.84180032281759,5.30844516405505,93.43314833840112,4.997895031242186,93.12419917107586,5.170915807424311,36,16,result_model_1,unrelaxed_model_1
3,1buh_A,1buh_B,91.26955473410321,6.635054656698875,88.39346706416887,13.199153957027143,91.84640081530851,3.518378433854804,89.07446233175475,12.007795733586091,74,33,result_model_1,unrelaxed_model_1
4,1bvn_A,1bvn_B,92.18124301025813,3.194063713350228,96.95901740846342,2.6518420971575303,91.30783377851657,10.153532671521347,96.22406558312763,4.810257739605675,6,6,result_model_1,unrelaxed_model_1
5,1cc0_A,1cc0_B,80.00732101040042,6.5094225263761025,94.26947829775447,6.126212664387166,88.97250564897307,11.935437715849996,91.85731844538633,9.605726103369074,20,9,result_model_1,unrelaxed_model_1
6,1clv_A,1clv_B,62.60105596017296,22.893655598631298,97.11657623745012,2.637975666384545,36.336070514220864,3.6987955152558136,93.2421216893558,15.095275069879694,2,2,result_model_1,unrelaxed_model_1
7,1dfj_A,1dfj_B,85.09540680212886,11.728290216236664,95.38653089905785,3.652283049706526,91.14792764591341,8.128886068413829,94.48034675528213,5.256835861666384,36,25,result_model_1,unrelaxed_model_1
8,1eay_A,1eay_B,92.79687529303965,2.843988093707452,94.19573690761098,4.113952452272282,93.69452319878745,3.9457139175157674,94.01838436448881,4.062295649134862,50,20,result_model_1,unrelaxed_model_1
9,1eer_A,1eer_B,93.22671210158445,4.474307897328918,90.77372036571805,8.35975278635772,83.85125477624788,16.030653445023532,87.68466314030933,12.853650482721863,90,38,result_model_1,unrelaxed_model_1
10,1ewy_A,1ewy_B,88.39111294916715,3.9310130810173316,94.1023231975012,9.497312377277146,93.48930463058488,4.2043209690180925,93.95250818613513,8.51731194780464,62,27,result_model_1,unrelaxed_model_1
11,1fle_A,1fle_B,90.61335386961647,6.1345998586505655,95.90462582375916,3.649676089330213,82.24583407458361,18.22682732110913,93.18241907654584,10.327061334380707,4,3,result_model_1,unrelaxed_model_1
12,1fq1_A,1fq1_B,83.87014937316002,11.93802279320348,87.00673542975683,13.991268220121512,91.63078655666766,7.624385524277982,88.7358974057865,12.21870523445177,62,26,result_model_1,unrelaxed_model_1
13,1g6v_A,1g6v_B,89.1441410390781,6.289609985772356,96.40463861957879,2.663026305625691,91.91461936264116,5.9462994617327505,94.92750434706144,4.56523765883809,8,7,result_model_1,unrelaxed_model_1
14,1g73_A,1g73_B,94.33006191562092,1.833794900477886,93.32027827394643,8.69460226971889,91.00342902538955,13.270352293109218,92.45819483262294,10.688679625399958,10,7,result_model_1,unrelaxed_model_1
15,1gcq_A,1gcq_B,94.2644833817682,3.10186280615806,95.77514451363544,2.729824183394123,96.33546713439134,2.1376120832775967,96.02896587175562,2.494787369315938,38,19,result_model_1,unrelaxed_model_1
16,1gpw_A,1gpw_B,91.95366284497614,7.3185682189369485,91.6698377232819,10.714695243693914,93.58997473797902,7.055022790366865,92.52840119020594,9.307965896154013,152,63,result_model_1,unrelaxed_model_1
17,1he1_A,1he1_B,79.34997912896257,9.665786718908329,93.72404929359628,7.030234746667664,85.59440532303188,10.078689500424789,90.33669763919445,9.33914278300549,78,34,result_model_1,unrelaxed_model_1
18,1i2m_A,1i2m_B,85.14973308522153,12.10465109907384,93.59307329334055,7.248236659133642,85.87806508703375,13.080970297322105,91.0515070447746,10.234640357653495,52,27,result_model_1,unrelaxed_model_1
19,1i4e_A,1i4e_B,58.61261490276851,23.61537742412156,81.15345579641969,12.327942084673742,84.76661251737671,16.399480744406063,82.77431114787704,14.411023027717528,4,3,result_model_1,unrelaxed_model_1
20,1i8l_A,1i8l_B,93.24849965932091,4.748030322080804,94.18947038202637,4.910084724007272,88.2581202302379,11.152622257352121,91.87479715206015,8.46232319297049,72,31,result_model_1,unrelaxed_model_1
21,1ib1_A,1ib1_B,76.21377705368761,15.745156699400969,93.06758863157361,5.4016669985396195,90.77667944584687,10.076706297442891,92.11158581615585,7.7878782211635755,30,22,result_model_1,unrelaxed_model_1
22,1jiw_A,1jiw_B,89.27294564132278,6.763387851106143,95.51063866713055,5.055951926793529,91.0597061104851,7.013715937656015,94.69154343969232,5.734628686991404,112,46,result_model_1,unrelaxed_model_1
23,1jk9_A,1jk9_B,93.08443963957096,5.261064456144094,83.46887167075084,13.081544992707196,95.62556372595823,4.234667215582727,88.49582811520148,11.984144934633049,80,33,result_model_1,unrelaxed_model_1
24,1jtd_A,1jtd_B,89.24801733145591,1.3157006162071028,96.26137239712983,3.247427279252397,96.49080265086242,2.6689808833816846,96.3747937443698,2.977763952444162,2,2,result_model_1,unrelaxed_model_1
25,1k5g_A,1k5g_B,71.3145363334164,17.363599705466395,94.58125999309787,6.7634538992863815,82.31320542336314,16.532965377078067,90.00029243973609,12.881919548778002,22,13,result_model_1,unrelaxed_model_1
26,1kgy_A,1kgy_B,84.60882326688028,9.794294954292642,89.36999516304961,11.718965679658325,91.61954292928743,8.663008043024918,90.33702636743843,10.573495793651361,134,51,result_model_1,unrelaxed_model_1
27,1lb2_A,1lb2_B,0.0,0.0,92.74635018664475,10.083184286366588,85.70805354273371,10.211337470288909,90.78048112403512,10.600413495191674,0,0,result_model_1,unrelaxed_model_1
28,1lfd_A,1lfd_B,80.10361715937701,8.479127165459888,91.27469972373753,10.206412193531525,88.23988786286952,9.087846754145481,90.23110829332046,9.941198598823725,48,20,result_model_1,unrelaxed_model_1
29,1mq8_A,1mq8_B,94.3697601669883,2.68921610961085,94.27029988407799,3.985162111315334,94.35163469842153,5.6270851018360215,94.30983764105052,4.853375330991541,68,26,result_model_1,unrelaxed_model_1
30,1nbf_A,1nbf_B,82.00353454421197,14.034259331510768,91.75181142785779,9.298457161220579,85.58230071623436,15.446916326606399,90.60985872402365,10.971060266130083,92,47,result_model_1,unrelaxed_model_1
31,1nql_A,1nql_B,88.72156393113049,6.381257411717191,92.10475217051061,5.597614060521545,82.8001047652873,13.555160847109136,91.3631787682898,7.059059566402844,164,66,result_model_1,unrelaxed_model_1
