,id1,id2,n_unique1,n_unique2,n_matching_ox,ncombos_total,median_combos,std_combos,PDB
0,4G4S_P,4G4S_O,1391,88,76,92.0,1.0,0.748960498460932,4g4s
1,5XJL_A,5XJL_2,2696,1234,1229,28256.0,13.0,88.21349989374437,5xjl
2,5XJL_2,5XJL_M,1234,194,184,1431.0,1.0,38.07214719467805,5xjl
3,4IFD_C,4IFD_J,15620,18394,12595,252790.0,2.0,594.2899083824639,4ifd
4,4IFD_A,4IFD_G,21277,2314,2210,219424.0,8.0,3713.808618921094,4ifd
5,4IFD_C,4IFD_I,15620,6782,4741,229495.0,4.0,2491.123620918449,4ifd
6,4IFD_K,4IFD_I,0,6782,0,0.0,,,4ifd
7,4IFD_I,4IFD_G,6782,2314,2256,132553.0,4.0,2418.8880268701864,4ifd
8,5JEA_K,5JEA_I,2263,4490,267,4780.0,2.0,207.90985395455337,5jea
9,5JEA_K,5JEA_C,2263,19968,1730,39755.0,3.0,235.94651384194302,5jea
10,4UB8_A,4UB8_I,10322,4925,4650,12758.0,2.0,6.850138337029662,4ub8
11,4UB8_B,4UB8_O,6806,643,568,4189.0,3.0,20.49257530437875,4ub8
12,4UB8_K,4UB8_Y,5170,989,882,991.0,1.0,0.7091317856422881,4ub8
13,4UB8_B,4UB8_U,6806,17385,488,5872.0,8.0,22.779119150714564,4ub8
14,4UB8_B,4UB8_L,6806,4889,4708,12474.0,2.0,3.972818889161111,4ub8
15,4UB8_l,4UB8_m,4889,5578,4104,4658.0,1.0,1.0261226675938109,4ub8
16,4UB8_o,4UB8_u,643,17385,478,2224.0,3.0,12.024934995295306,4ub8
17,4UB8_U,4UB8_V,17385,14105,10421,715439.0,6.0,3355.3438575220257,4ub8
18,4UB8_E,4UB8_R,5304,664,630,877.0,1.0,1.8179704004524215,4ub8
19,4UB8_A,4UB8_T,10322,6484,5429,13945.0,2.0,3.843639725478263,4ub8
20,4UB8_e,4UB8_j,5304,5566,4998,5975.0,1.0,1.1964013172298489,4ub8
21,4UB8_Z,4UB8_Y,5967,989,868,977.0,1.0,0.645180834134527,4ub8
22,4UB8_A,4UB8_V,10322,14105,1276,124018.0,12.0,2284.594674780581,4ub8
23,4UB8_T,4UB8_L,6484,4889,4583,5223.0,1.0,0.9628293806183807,4ub8
24,4UB8_A,4UB8_B,10322,6806,5506,42504.0,4.0,41.217550786187225,4ub8
25,4UB8_B,4UB8_H,6806,6077,5194,15729.0,2.0,10.527453151365046,4ub8
26,4UB8_A,4UB8_O,10322,643,564,4607.0,4.0,22.213862127400546,4ub8
27,5H2F_F,5H2F_J,5087,5566,4944,5576.0,1.0,0.7578086429421149,5h2f
28,1SXJ_A,1SXJ_G,21493,14691,12864,302243.0,2.0,728.0658346507707,1sxj
29,1SXJ_B,1SXJ_G,23136,14691,13840,352548.0,2.0,856.3004484105215,1sxj
30,3WTP_C,3WTP_F,2351,3361,2024,109359.0,9.0,390.2657875098806,3wtp
31,3WTP_H,3WTP_F,2129,3361,1969,70788.0,4.0,243.70178359899293,3wtp
32,2FYU_D,2FYU_H,7384,1294,1198,3759.0,1.0,17.76169168950695,2fyu
33,2FYU_D,2FYU_G,7384,1068,988,2990.0,1.0,33.007227091543854,2fyu
34,2FYU_D,2FYU_J,7384,916,867,2100.0,1.0,8.758551254652735,2fyu
35,2FYU_C,2FYU_D,20698,7384,91,1285.0,3.0,26.192791208938733,2fyu
36,2FYU_C,2FYU_E,20698,16001,126,3190.0,4.0,91.94051310007777,2fyu
37,2FYU_C,2FYU_F,20698,1342,107,1936.0,3.0,47.94165704860428,2fyu
38,2FYU_I,2FYU_A,133,18835,122,2458.0,9.0,39.37954701950538,2fyu
39,2FYU_C,2FYU_G,20698,1068,92,1197.0,2.0,25.451785008392267,2fyu
40,2FYU_J,2FYU_K,916,315,219,354.0,1.0,1.364555929769624,2fyu
41,2FYU_C,2FYU_A,20698,18835,123,12341.0,12.0,272.5109281516241,2fyu
42,2FYU_A,2FYU_K,18835,315,304,4095.0,6.0,61.78197375791042,2fyu
43,2FYU_A,2FYU_G,18835,1068,1042,11192.0,5.0,99.21478686765188,2fyu
44,2FYU_F,2FYU_G,1342,1068,994,2319.0,1.0,18.33603113799047,2fyu
45,3L75_E,3L75_D,15933,7366,7179,201959.0,3.0,735.312244154303,3l75
46,3L75_R,3L75_T,15933,1055,996,4994.0,2.0,49.24669278452824,3l75
47,3L75_E,3L75_J,15933,919,882,3573.0,2.0,11.997859979324806,3l75
48,3L75_H,3L75_G,1295,1057,951,1884.0,1.0,2.9559790423541052,3l75
49,3L75_Q,3L75_S,7366,1343,1244,10331.0,1.0,208.59893889819267,3l75
50,1JB0_D,1JB0_C,758,17612,706,2413.0,2.0,11.365778809329539,1jb0
51,1JB0_J,1JB0_F,4737,766,650,1041.0,1.0,2.2228874020891984,1jb0
52,1JB0_A,1JB0_C,7658,17612,4862,63225.0,2.0,623.1169974065563,1jb0
53,1JB0_D,1JB0_L,758,773,708,1185.0,1.0,2.7073950193617278,1jb0
