id1,id2,n_unique1,n_unique2,n_matching_ox,ncombos_total,median_combos,std_combos,Org1,Org2,kingdom1,kingdom2
4G4S_P,4G4S_O,1391,88,76,92.0,1.0,0.748960498460932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
5XJL_A,5XJL_2,2696,1234,1229,28256.0,13.0,88.21349989374437,Homo sapiens,Homo sapiens,E,E
5XJL_2,5XJL_M,1234,194,184,1431.0,1.0,38.07214719467805,Homo sapiens,Homo sapiens,E,E
4IFD_C,4IFD_J,15620,18394,12595,252790.0,2.0,594.2899083824639,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4IFD_A,4IFD_G,21277,2314,2210,219424.0,8.0,3713.808618921094,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4IFD_C,4IFD_I,15620,6782,4741,229495.0,4.0,2491.123620918449,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4IFD_K,4IFD_I,0,6782,0,0.0,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4IFD_I,4IFD_G,6782,2314,2256,132553.0,4.0,2418.8880268701864,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
5JEA_K,5JEA_I,2263,4490,267,4780.0,2.0,207.90985395455337,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
5JEA_K,5JEA_C,2263,19968,1730,39755.0,3.0,235.94651384194302,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4UB8_A,4UB8_I,10322,4925,4650,12758.0,2.0,6.850138337029662,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_B,4UB8_O,6806,643,568,4189.0,3.0,20.49257530437875,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_K,4UB8_Y,5170,989,882,991.0,1.0,0.7091317856422881,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_B,4UB8_U,6806,17385,488,5872.0,8.0,22.779119150714564,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_B,4UB8_L,6806,4889,4708,12474.0,2.0,3.972818889161111,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_l,4UB8_m,4889,5578,4104,4658.0,1.0,1.0261226675938109,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_o,4UB8_u,643,17385,478,2224.0,3.0,12.024934995295306,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_U,4UB8_V,17385,14105,10421,715439.0,6.0,3355.3438575220257,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_E,4UB8_R,5304,664,630,877.0,1.0,1.8179704004524215,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_A,4UB8_T,10322,6484,5429,13945.0,2.0,3.843639725478263,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_e,4UB8_j,5304,5566,4998,5975.0,1.0,1.1964013172298489,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_Z,4UB8_Y,5967,989,868,977.0,1.0,0.645180834134527,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_A,4UB8_V,10322,14105,1276,124018.0,12.0,2284.594674780581,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_T,4UB8_L,6484,4889,4583,5223.0,1.0,0.9628293806183807,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_A,4UB8_B,10322,6806,5506,42504.0,4.0,41.217550786187225,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
4UB8_B,4UB8_H,6806,6077,5194,15729.0,2.0,10.527453151365046,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
