,id1,id2,if_plddt_av,if_plddt_std,ch1_plddt_av,ch1_plddt_std,ch2_plddt_av,ch2_plddt_std,plddt_av,plddt_std,num_atoms_in_interface,num_res_in_interface,metric_name,model_name
0,PTHP_ECOLI,UBIE_ECOLI,80.97543942436685,5.485361615885722,91.81080649506053,5.6998686389644275,89.30917958453257,10.272334288869368,89.94203163035064,9.392979519093728,2,2,result_model_1,unrelaxed_model_1
1,GLGA_ECOLI,IRAP_ECOLI,0.0,0.0,96.24962678425975,2.6964455372708866,75.8768635528571,6.288892817405376,93.1376238750224,8.118936296312736,0,0,result_model_1,unrelaxed_model_1
2,WECH_ECOLI,YAHF_ECOLI,81.88409265074186,5.821220685399898,86.24692869185779,12.579217637783637,89.42476425742012,10.515602274022013,88.1814267016268,11.47300228384988,4,4,result_model_1,unrelaxed_model_1
3,NAPD_ECOLI,UDG_ECOLI,85.9321652203757,3.8798714455147185,84.51260597270922,14.781986448291018,94.33183782367294,6.535234275420817,92.5333679899175,9.451621404102905,68,33,result_model_1,unrelaxed_model_1
4,UVRB_ECOLI,RSD_ECOLI,81.44510840101991,8.224128921585647,87.99717492909953,13.430026921316555,75.92218260103064,14.031684902744692,85.70132801233073,14.351254895984097,28,16,result_model_1,unrelaxed_model_1
5,ETTA_ECOLI,MOBA_ECOLI,80.51677780892838,4.147024914884203,81.19344001679829,14.34219163158561,85.74710689645669,12.931358495856877,82.37289445558832,14.13194308521952,8,7,result_model_1,unrelaxed_model_1
6,TSAD_ECOLI,YCGL_ECOLI,74.25320938240748,12.640650096632697,95.15167156477435,4.53171834763064,76.11661016465774,19.77643109323429,90.53192632609435,13.306683758664434,4,3,result_model_1,unrelaxed_model_1
7,RUVA_ECOLI,RSXG_ECOLI,84.61771025103707,2.884107478754513,84.38176646359116,16.09144591470302,91.64483737457257,4.904371781613765,88.039939098462,12.402405522451314,4,4,result_model_1,unrelaxed_model_1
8,ALAC_ECOLI,WCAC_ECOLI,0.0,0.0,92.71740454611417,10.435551443413232,88.4862494663233,7.952221137551663,90.61995312957157,9.525766929714123,0,0,result_model_1,unrelaxed_model_1
9,FER_ECOLI,YDHS_ECOLI,76.15202360007596,16.938424019905227,92.42587367350333,9.484678525223964,91.97894844531717,9.84833244673002,92.05586115900505,9.788166646608833,6,4,result_model_1,unrelaxed_model_1
